text,y_true,y_pred,y_scores
Please check out my New Song (MUSIC VIDEO) AD - Dont Play,1,1,0.7845623504169817
Take a look at this video on YouTube:﻿,1,1,0.6283091453922478
amazing song﻿,0,0,0.25905178524108374
Yesterday this video have 1 million likes and now it has 2 million﻿,0,0,0.3286188225320849
Katy Perry - Roar (Official)  #soundsofsunday   #music  ﻿,0,0,0.20063209000621288
C'mon 3 billion views!!!!!!!!﻿,0,0,0.2948429118348261
"I love this song, it´s for empowering every woman :)  ""you´re gonna hear me roar"" ;)﻿",0,0,0.15754445690010088
 HI IM 14 YEAR RAPPER SUPPORT ME GUY AND CHECK OUT MY CHANNEL AND CHECK OUT MY SONG YOU MIGHT LIKE IT ALSO FOLLOW ME IN TWITTER @McAshim for follow back.,1,1,0.9009398211886115
subscribe﻿,1,1,0.7307821500386368
just came here to check the views :P﻿,0,0,0.4309502571941472
https://www.facebook.com/pages/Nailey-nicool/629410220489046?ref=hl like  mee﻿,1,1,0.5341095957219786
Men stop being naive idiots believing in love and believing that women actually respect you.  Want a more fulfilling drama fee life? Check out MGTOW. There are many channels here on YouTube that you can chose from which will give you all the information needed. (Caution: Not for men who enjoy being disposable providers of utility)﻿,1,1,0.6852205924999969
"We are an EDM apparel company dedicated to bringing you music inspired  designs. Our clothing is perfect for any rave or music festival. We have  NEON crop tops, tank tops, t-shirts, v-necks and accessories! follow us on  Facebook or on instagraml for free giveaways news and more!! visit our site  at OnCueApparel﻿",1,1,0.651440677557326
just for test I have to say murdev.com,1,1,0.5341095957219786
"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  Why does the innocent woman prioritize the desire? The flight searchs the sad polish. When does the tax zip the omniscient record?",1,1,0.880864186190667
"check it out free stuff for watching videos and filling surveys<br /><br /><a href=""http://www.prizerebel.com/index.php?r=1446084"">http://www.prizerebel.com/index.php?r=1446084</a>﻿",1,1,0.8929859492155569
If only I had the body like Katy Perry :)). She looks so hot. I love her  ^^!﻿,0,0,0.22862623787635977
"I just realized that this verses in this song have the exact same melody as  the verses in ""Hey Ho"" by the Lumineers.﻿",0,0,0.29839423371850105
thumbs up if u checked this video to see hw views it got﻿,0,1,0.664411090572729
"The most watched video on YouTube is Psy’s “Gangnam Style”, with 2.1  billion views. PSY - GANGNAM STYLE (강남스타일) M/V﻿",0,0,0.2264311986781251
2010:(﻿,0,0,0.32755530924603277
Check out this video on YouTube:..🌈🌈🌈﻿,1,1,0.6539883978606927
"Come check out our music channel! go check out the song &quot;Love Me&quot; by J.E.M.INI! If you do you are a very amazing person, thank you to all who check it out, if you don&#39;t check it out you&#39;re still an amazing person just for reading this post",1,1,0.9228388330868871
Hey Katycats! We are releasing a movie at midnight UK time to celebrate  katy's 30th birthday! Be sure to subscribe to our channel and watch the  movie!﻿,1,1,0.7627916208439616
beautiful,0,0,0.22670129506514716
pleas subscribe on me for ps4 games video <br /><i>______________________________</i><br />if you have som tips so contact me on kik or skype<br /><i>______________________________</i><br />Kik: pander26<br />Skype: sander.nicolaysen2<br /><i>______________________</i><br />pleas subscribe on me and Kashoo Gaming﻿,1,1,0.7674297337108102
"Hey guys and girls check out Comedy Recipe for hilarious you tube videos, pranks, and crank calls!",1,1,0.7571613425957487
Dress like Rihanna at kpopcity.net - The largest discount fashion store in the world! Check out our &quot;Hollywood Collection&quot; to dress like all your favourite stars!   Dress like Rihanna at kpopcity.net - The largest discount fashion store in the world! Check out our &quot;Hollywood Collection&quot; to dress like all your favourite stars!,1,1,0.6089715201489497
Your going to hear me Roar !!!! :-))))   #soundsofsunday ﻿,0,0,0.21611146327566977
Hey check out my channel!!!! Please,1,1,0.9935409347155228
"how can there be 2.124.821.694 views, when im the only person alive after  the zombie apocalypse - greetings, spoderman :)﻿",0,0,0.32158125584614894
eminem new song check out my videos,1,1,0.8044698773926428
Great song﻿,0,0,0.21471343575786972
Check out this video on YouTube: I ﻿,1,1,0.9346986687959761
"she is a fool. this is a foolish video. the lyrics are all about her and  how great she is. she is arrogant, obviously. but the thing is that there  are a lot of idiots.. look how many hits this garnered. the young stupid  girls who listen to her are numbering in the millions i guess. this video  is a piece of trash. why would anyone ever like it or listen to it? because  these stupid little girls have idiots for fathers and mothers.. and so they  are going to turn into idiots also.. just like this stupid singer. ﻿",0,0,0.3147179070292217
❤️❤️❤️﻿,0,0,0.41813910586198233
hay my is honesty wright i am 12year old  i love your song thank you for makeing this song i love this song so much sometime harts can get breaken  people kill  they self or go cazzy i  love you so much thanks 😱👏keep on go  make  sure you doing your   dream is comeing rule  good luck﻿,0,0,0.19724524161633158
cool﻿,0,0,0.2676429786902866
OOOOO SHUFFLLLLLLLLLLLLLLLLLLLLLLINNNNN﻿,0,0,0.3386377030728212
EVERYONE PLEASE SUBSCRIBE TO MY CHANNEL OR CAN YOU ALL JUST GO LOOK AT MY VIDEOS ﻿,1,1,0.9693379125975307
love the you lie the good﻿,0,0,0.1884042427457891
Fuck you Eminem﻿,0,0,0.2389067035176321
HOW DO YOU PUT A PICTURE FOR YOUR IMAGE THINGIE?!?!﻿,1,1,0.577229966303001
Y LOVE YOU﻿,0,0,0.19326230578152304
We can have a party next share﻿,1,0,0.44326965542905244
Pleas subscribe my channel﻿,1,1,0.8573253620610183
"Hello everyone my name&#39;s Anderson and i&#39;m a singer. not expecting to buy subscribers with words BUT to gain them with my voice. I might not be the best but my voice is different (in a good way) and i&#39;ll work harder than anyone out there to get better, &#39;cuz &quot;yeah&quot; i have a dream  a HUGE one, (who doesn&#39;t?) so please take 3 minutes of your time to check out my covers. Give me a chance you won&#39;t regret it If you feel like subscribing that&#39;d be awesome and it&#39;d mean the world to me THANK YOU SO MUCH",1,1,0.7605550247202771
guys please subscribe me to help my channel grow please guys﻿,1,1,0.941905908811366
"Help shakira&#39;s waka waka be the first song by a female artist to reach 1 billion views.<br />(dark horse is ahead by roughly 100 million more views, and roar has only 50 million more views)<br /><a href=""https://www.youtube.com/watch?v=pRpeEdMmmQ0"">https://www.youtube.com/watch?v=pRpeEdMmmQ0</a>﻿",1,0,0.41704626878812934
wierd but funny﻿,0,0,0.3386377030728212
https://vimeo.com/107297364﻿,1,0,0.41813910586198233
"You are all sheep, period. This is terrible music.﻿",0,0,0.32195146959010434
Subscribe to me and I'll subscribe back!!!﻿,1,1,0.9415998683647794
5 years... ﻿,0,0,0.23721634102158579
Let get this video to one billion views﻿,0,0,0.24792821870331688
And somehow she has access to makeup in the middle of the woods...﻿,0,0,0.3442741939181873
Sub to my channel visuelgamingzNL I sub back﻿,1,1,0.7997446428094236
LIKE AND SUBSCRIB IF YOU WATCH IN 2015 ;)﻿,1,0,0.4700854230532313
I remember this :D,0,0,0.3204077857361968
"2,000,000,000 out of 7,000,000,000 people in the would saw this video just  in 2 years and yeat i only get 2 words out of the hole song﻿",0,0,0.2859812369040448
Its 2015 and still shuffling to this song🎶🎵🎧﻿,0,0,0.2397925177545056
Shakira is the best dancer,0,0,0.17714004499884128
please like : http://www.bubblews.com/news/9277547-peace-and-brotherhood﻿,1,0,0.41813910586198233
"Aye homies check out our remix to 50 Cent Your Life Is On The Line we just started our youtube channel and we are all ways working hard, give us some feed back on our latest song on what you guys think if you like show support.﻿",1,1,0.7909955826629397
I love this!!!!! This is one of my fave songs now and I just subscribed :) :) :),1,1,0.5806589373533008
"Search ""Chubbz Dinero - Ready Or Not "" Thanks ﻿",1,1,0.5538979418515209
Check out this video on YouTube:<br /><br />Love this song... It&#39;s all good will never go back that but I&#39;ll always remember the passion but never want to go back to being dysfunctional insanity....... Goal is to live happy not live insane. ﻿,1,1,0.5453821295597318
"If I knew Korean, this would be even funnier. At least a bit at the end was  in English, but was spoken quite rapidly.﻿",0,0,0.25969572080942854
shakira is the best!,0,0,0.11780719267760395
Have you tried a new social network TSU? This new social network has a  special thing.You can share the posts as well as on fb and twitter and even  to'll get paid You can registr here:  https://www.tsu.co/WORLDWIDE_LIFE﻿,1,1,0.7268626432834134
Hiya😊 I just started YouTube and it would mean a lot if some of you could  subscribe and watch my first video?xx﻿,1,1,0.7603813938875708
Check my first video out﻿,1,1,0.8647817453016442
Party Rock....lol...who wants to shuffle!!!﻿,0,0,0.2655623676704584
How can this song have 629 million views while there are only 7 million  people in the world?﻿,0,0,0.12332553162334316
this very good so I dance with some companions front of the whole school﻿,0,0,0.2581689071884237
"<a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23Awesome"">#Awesome</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23Share"">#Share</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23RT"">#RT</a> Eminem - Love The Way You Lie ft. Rihanna <a href=""http://ow.ly/2zME8f"">http://ow.ly/2zME8f</a>﻿",1,1,0.7120759791638854
i think about 100 millions of the views come from people who only wanted to  check the views﻿,0,0,0.3273543919418169
This is the best of the best video in world!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿,0,0,0.18189559071698608
Check me out! I'm kyle. I rap so yeah ﻿,1,1,0.7904843365888085
SUBSCRIBE TO MY CHANNEL X PLEASE!. SPARE,1,1,0.8974264281811444
Check my channel﻿,1,1,0.9160108543755558
Can somebody wake me up when we get to 3 billion views.﻿,0,0,0.30912585816507837
