text,y_true,y_pred,y_scores
Please check out my New Song (MUSIC VIDEO) AD - Dont Play,1,1,0.867214286146991
Take a look at this video on YouTube:﻿,1,1,0.7057229669045623
amazing song﻿,0,0,0.20215629032687543
Yesterday this video have 1 million likes and now it has 2 million﻿,0,0,0.36265491554204016
Katy Perry - Roar (Official)  #soundsofsunday   #music  ﻿,0,0,0.23564699514342993
C'mon 3 billion views!!!!!!!!﻿,0,0,0.2010061378883201
"I love this song, it´s for empowering every woman :)  ""you´re gonna hear me roar"" ;)﻿",0,0,0.2714137130032267
 HI IM 14 YEAR RAPPER SUPPORT ME GUY AND CHECK OUT MY CHANNEL AND CHECK OUT MY SONG YOU MIGHT LIKE IT ALSO FOLLOW ME IN TWITTER @McAshim for follow back.,1,1,0.9630784516305911
subscribe﻿,1,1,0.6790359292163511
just came here to check the views :P﻿,0,0,0.41974591461356786
https://www.facebook.com/pages/Nailey-nicool/629410220489046?ref=hl like  mee﻿,1,0,0.49764502181887094
Men stop being naive idiots believing in love and believing that women actually respect you.  Want a more fulfilling drama fee life? Check out MGTOW. There are many channels here on YouTube that you can chose from which will give you all the information needed. (Caution: Not for men who enjoy being disposable providers of utility)﻿,1,1,0.6418568521571468
"We are an EDM apparel company dedicated to bringing you music inspired  designs. Our clothing is perfect for any rave or music festival. We have  NEON crop tops, tank tops, t-shirts, v-necks and accessories! follow us on  Facebook or on instagraml for free giveaways news and more!! visit our site  at OnCueApparel﻿",1,1,0.7701072678285377
just for test I have to say murdev.com,1,1,0.574402015948378
"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  Why does the innocent woman prioritize the desire? The flight searchs the sad polish. When does the tax zip the omniscient record?",1,1,0.8219378211356659
"check it out free stuff for watching videos and filling surveys<br /><br /><a href=""http://www.prizerebel.com/index.php?r=1446084"">http://www.prizerebel.com/index.php?r=1446084</a>﻿",1,1,0.8997517279786388
If only I had the body like Katy Perry :)). She looks so hot. I love her  ^^!﻿,0,0,0.13607123390090914
"I just realized that this verses in this song have the exact same melody as  the verses in ""Hey Ho"" by the Lumineers.﻿",0,0,0.20480171495226535
thumbs up if u checked this video to see hw views it got﻿,0,0,0.42119349745791057
"The most watched video on YouTube is Psy’s “Gangnam Style”, with 2.1  billion views. PSY - GANGNAM STYLE (강남스타일) M/V﻿",0,0,0.22475740412401973
2010:(﻿,0,0,0.2729628371825115
Check out this video on YouTube:..🌈🌈🌈﻿,1,1,0.8716504035703637
"Come check out our music channel! go check out the song &quot;Love Me&quot; by J.E.M.INI! If you do you are a very amazing person, thank you to all who check it out, if you don&#39;t check it out you&#39;re still an amazing person just for reading this post",1,1,0.9146723340320082
Hey Katycats! We are releasing a movie at midnight UK time to celebrate  katy's 30th birthday! Be sure to subscribe to our channel and watch the  movie!﻿,1,1,0.8132838531690091
beautiful,0,0,0.20468729553282797
pleas subscribe on me for ps4 games video <br /><i>______________________________</i><br />if you have som tips so contact me on kik or skype<br /><i>______________________________</i><br />Kik: pander26<br />Skype: sander.nicolaysen2<br /><i>______________________</i><br />pleas subscribe on me and Kashoo Gaming﻿,1,1,0.8240277896434223
"Hey guys and girls check out Comedy Recipe for hilarious you tube videos, pranks, and crank calls!",1,1,0.8270929204172945
Dress like Rihanna at kpopcity.net - The largest discount fashion store in the world! Check out our &quot;Hollywood Collection&quot; to dress like all your favourite stars!   Dress like Rihanna at kpopcity.net - The largest discount fashion store in the world! Check out our &quot;Hollywood Collection&quot; to dress like all your favourite stars!,1,1,0.6842470538358935
Your going to hear me Roar !!!! :-))))   #soundsofsunday ﻿,0,0,0.44551392852045224
Hey check out my channel!!!! Please,1,1,0.9708424372766168
"how can there be 2.124.821.694 views, when im the only person alive after  the zombie apocalypse - greetings, spoderman :)﻿",0,0,0.2969592163563523
eminem new song check out my videos,1,1,0.9087130691854783
Great song﻿,0,0,0.1975586085379345
Check out this video on YouTube: I ﻿,1,1,0.897748547354015
"she is a fool. this is a foolish video. the lyrics are all about her and  how great she is. she is arrogant, obviously. but the thing is that there  are a lot of idiots.. look how many hits this garnered. the young stupid  girls who listen to her are numbering in the millions i guess. this video  is a piece of trash. why would anyone ever like it or listen to it? because  these stupid little girls have idiots for fathers and mothers.. and so they  are going to turn into idiots also.. just like this stupid singer. ﻿",0,0,0.25106918050224436
❤️❤️❤️﻿,0,0,0.2919123729629271
