text,y_true,y_pred,y_scores
Please check out my New Song (MUSIC VIDEO) AD - Dont Play,1,1,0.94394369517161
Take a look at this video on YouTube:﻿,1,1,0.6979286183054291
amazing song﻿,0,0,0.00642239658600699
Yesterday this video have 1 million likes and now it has 2 million﻿,0,0,0.06799551777765712
Katy Perry - Roar (Official)  #soundsofsunday   #music  ﻿,0,0,0.08076251693551402
C'mon 3 billion views!!!!!!!!﻿,0,0,0.1526496687862719
"I love this song, it´s for empowering every woman :)  ""you´re gonna hear me roar"" ;)﻿",0,0,0.10300147495926283
 HI IM 14 YEAR RAPPER SUPPORT ME GUY AND CHECK OUT MY CHANNEL AND CHECK OUT MY SONG YOU MIGHT LIKE IT ALSO FOLLOW ME IN TWITTER @McAshim for follow back.,1,1,0.9432101444136377
subscribe﻿,1,1,0.9999999877570643
just came here to check the views :P﻿,0,1,0.6073589112156139
https://www.facebook.com/pages/Nailey-nicool/629410220489046?ref=hl like  mee﻿,1,0,0.4817065263201397
Men stop being naive idiots believing in love and believing that women actually respect you.  Want a more fulfilling drama fee life? Check out MGTOW. There are many channels here on YouTube that you can chose from which will give you all the information needed. (Caution: Not for men who enjoy being disposable providers of utility)﻿,1,1,0.758718994472119
"We are an EDM apparel company dedicated to bringing you music inspired  designs. Our clothing is perfect for any rave or music festival. We have  NEON crop tops, tank tops, t-shirts, v-necks and accessories! follow us on  Facebook or on instagraml for free giveaways news and more!! visit our site  at OnCueApparel﻿",1,1,0.7438443365475638
just for test I have to say murdev.com,1,1,0.7918479881358007
"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  Why does the innocent woman prioritize the desire? The flight searchs the sad polish. When does the tax zip the omniscient record?",1,1,0.7618972080729385
"check it out free stuff for watching videos and filling surveys<br /><br /><a href=""http://www.prizerebel.com/index.php?r=1446084"">http://www.prizerebel.com/index.php?r=1446084</a>﻿",1,1,0.9747565753308172
If only I had the body like Katy Perry :)). She looks so hot. I love her  ^^!﻿,0,0,0.14601836119720396
"I just realized that this verses in this song have the exact same melody as  the verses in ""Hey Ho"" by the Lumineers.﻿",0,0,0.10506329313138638
thumbs up if u checked this video to see hw views it got﻿,0,1,0.5321288665834669
"The most watched video on YouTube is Psy’s “Gangnam Style”, with 2.1  billion views. PSY - GANGNAM STYLE (강남스타일) M/V﻿",0,0,0.15853707228604894
2010:(﻿,0,1,0.5268803850439637
Check out this video on YouTube:..🌈🌈🌈﻿,1,1,0.974489012660162
"Come check out our music channel! go check out the song &quot;Love Me&quot; by J.E.M.INI! If you do you are a very amazing person, thank you to all who check it out, if you don&#39;t check it out you&#39;re still an amazing person just for reading this post",1,1,0.8791971890964153
Hey Katycats! We are releasing a movie at midnight UK time to celebrate  katy's 30th birthday! Be sure to subscribe to our channel and watch the  movie!﻿,1,1,0.765577633851168
beautiful,0,0,2.0227298695476937e-05
pleas subscribe on me for ps4 games video <br /><i>______________________________</i><br />if you have som tips so contact me on kik or skype<br /><i>______________________________</i><br />Kik: pander26<br />Skype: sander.nicolaysen2<br /><i>______________________</i><br />pleas subscribe on me and Kashoo Gaming﻿,1,1,0.9401571502931395
"Hey guys and girls check out Comedy Recipe for hilarious you tube videos, pranks, and crank calls!",1,1,0.7984843659553447
Dress like Rihanna at kpopcity.net - The largest discount fashion store in the world! Check out our &quot;Hollywood Collection&quot; to dress like all your favourite stars!   Dress like Rihanna at kpopcity.net - The largest discount fashion store in the world! Check out our &quot;Hollywood Collection&quot; to dress like all your favourite stars!,1,1,0.7621299010694041
Your going to hear me Roar !!!! :-))))   #soundsofsunday ﻿,0,0,0.47425659549678095
Hey check out my channel!!!! Please,1,1,0.9987766569460444
"how can there be 2.124.821.694 views, when im the only person alive after  the zombie apocalypse - greetings, spoderman :)﻿",0,0,0.40561504466476006
eminem new song check out my videos,1,1,0.9396104208206533
Great song﻿,0,0,0.002638172297094399
Check out this video on YouTube: I ﻿,1,1,0.9325935108877571
"she is a fool. this is a foolish video. the lyrics are all about her and  how great she is. she is arrogant, obviously. but the thing is that there  are a lot of idiots.. look how many hits this garnered. the young stupid  girls who listen to her are numbering in the millions i guess. this video  is a piece of trash. why would anyone ever like it or listen to it? because  these stupid little girls have idiots for fathers and mothers.. and so they  are going to turn into idiots also.. just like this stupid singer. ﻿",0,0,0.2548732017209239
❤️❤️❤️﻿,0,1,0.561640661003606
hay my is honesty wright i am 12year old  i love your song thank you for makeing this song i love this song so much sometime harts can get breaken  people kill  they self or go cazzy i  love you so much thanks 😱👏keep on go  make  sure you doing your   dream is comeing rule  good luck﻿,0,0,0.3020886026631825
cool﻿,0,0,0.017101731893714948
OOOOO SHUFFLLLLLLLLLLLLLLLLLLLLLLINNNNN﻿,0,0,0.190130911191108
EVERYONE PLEASE SUBSCRIBE TO MY CHANNEL OR CAN YOU ALL JUST GO LOOK AT MY VIDEOS ﻿,1,1,0.9855836262292025
love the you lie the good﻿,0,0,0.16268530501324185
Fuck you Eminem﻿,0,0,0.1365194917440806
HOW DO YOU PUT A PICTURE FOR YOUR IMAGE THINGIE?!?!﻿,1,1,0.6916870097926406
Y LOVE YOU﻿,0,0,0.025795298609868806
We can have a party next share﻿,1,1,0.6148080104250142
Pleas subscribe my channel﻿,1,1,0.999922411217968
"Hello everyone my name&#39;s Anderson and i&#39;m a singer. not expecting to buy subscribers with words BUT to gain them with my voice. I might not be the best but my voice is different (in a good way) and i&#39;ll work harder than anyone out there to get better, &#39;cuz &quot;yeah&quot; i have a dream  a HUGE one, (who doesn&#39;t?) so please take 3 minutes of your time to check out my covers. Give me a chance you won&#39;t regret it If you feel like subscribing that&#39;d be awesome and it&#39;d mean the world to me THANK YOU SO MUCH",1,1,0.7761175837691306
guys please subscribe me to help my channel grow please guys﻿,1,1,0.9988564149642021
