text,y_true,y_pred,y_scores
Please check out my New Song (MUSIC VIDEO) AD - Dont Play,1,1,0.8245311483432067
Take a look at this video on YouTube:﻿,1,1,0.6682900804570374
amazing song﻿,0,0,0.01599471856196225
Yesterday this video have 1 million likes and now it has 2 million﻿,0,0,0.09478913781865946
Katy Perry - Roar (Official)  #soundsofsunday   #music  ﻿,0,0,0.10299249658077636
C'mon 3 billion views!!!!!!!!﻿,0,0,0.12556418554710141
"I love this song, it´s for empowering every woman :)  ""you´re gonna hear me roar"" ;)﻿",0,0,0.09513606011759004
 HI IM 14 YEAR RAPPER SUPPORT ME GUY AND CHECK OUT MY CHANNEL AND CHECK OUT MY SONG YOU MIGHT LIKE IT ALSO FOLLOW ME IN TWITTER @McAshim for follow back.,1,1,0.9709089128091455
subscribe﻿,1,1,0.9999992458026664
just came here to check the views :P﻿,0,1,0.5706253118944243
https://www.facebook.com/pages/Nailey-nicool/629410220489046?ref=hl like  mee﻿,1,1,0.8510746393527475
Men stop being naive idiots believing in love and believing that women actually respect you.  Want a more fulfilling drama fee life? Check out MGTOW. There are many channels here on YouTube that you can chose from which will give you all the information needed. (Caution: Not for men who enjoy being disposable providers of utility)﻿,1,1,0.8233155387287899
"We are an EDM apparel company dedicated to bringing you music inspired  designs. Our clothing is perfect for any rave or music festival. We have  NEON crop tops, tank tops, t-shirts, v-necks and accessories! follow us on  Facebook or on instagraml for free giveaways news and more!! visit our site  at OnCueApparel﻿",1,1,0.8221766703482037
just for test I have to say murdev.com,1,1,0.9991633721644311
"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  Why does the innocent woman prioritize the desire? The flight searchs the sad polish. When does the tax zip the omniscient record?",1,1,0.9503903261618419
"check it out free stuff for watching videos and filling surveys<br /><br /><a href=""http://www.prizerebel.com/index.php?r=1446084"">http://www.prizerebel.com/index.php?r=1446084</a>﻿",1,1,0.9772530930083231
If only I had the body like Katy Perry :)). She looks so hot. I love her  ^^!﻿,0,0,0.14353934690941575
"I just realized that this verses in this song have the exact same melody as  the verses in ""Hey Ho"" by the Lumineers.﻿",0,0,0.1554932834851409
thumbs up if u checked this video to see hw views it got﻿,0,1,0.575724637331758
"The most watched video on YouTube is Psy’s “Gangnam Style”, with 2.1  billion views. PSY - GANGNAM STYLE (강남스타일) M/V﻿",0,0,0.08996099474132188
2010:(﻿,0,1,0.5214752102256164
Check out this video on YouTube:..🌈🌈🌈﻿,1,1,0.8897916504988072
"Come check out our music channel! go check out the song &quot;Love Me&quot; by J.E.M.INI! If you do you are a very amazing person, thank you to all who check it out, if you don&#39;t check it out you&#39;re still an amazing person just for reading this post",1,1,0.9622125354779031
