text,y_true,y_pred,y_scores
Please check out my New Song (MUSIC VIDEO) AD - Dont Play,1,1,0.8308979818157856
Take a look at this video on YouTube:﻿,1,1,0.7945696949930365
amazing song﻿,0,0,0.03372775315967279
Yesterday this video have 1 million likes and now it has 2 million﻿,0,0,0.16460647337691187
Katy Perry - Roar (Official)  #soundsofsunday   #music  ﻿,0,0,0.17434497846618663
C'mon 3 billion views!!!!!!!!﻿,0,0,0.11765530702316496
"I love this song, it´s for empowering every woman :)  ""you´re gonna hear me roar"" ;)﻿",0,0,0.20056014512991263
 HI IM 14 YEAR RAPPER SUPPORT ME GUY AND CHECK OUT MY CHANNEL AND CHECK OUT MY SONG YOU MIGHT LIKE IT ALSO FOLLOW ME IN TWITTER @McAshim for follow back.,1,1,0.9498094681599832
subscribe﻿,1,1,0.8787495697309049
just came here to check the views :P﻿,0,0,0.2818721104284048
https://www.facebook.com/pages/Nailey-nicool/629410220489046?ref=hl like  mee﻿,1,1,0.7326381169480871
Men stop being naive idiots believing in love and believing that women actually respect you.  Want a more fulfilling drama fee life? Check out MGTOW. There are many channels here on YouTube that you can chose from which will give you all the information needed. (Caution: Not for men who enjoy being disposable providers of utility)﻿,1,1,0.753818583456449
"We are an EDM apparel company dedicated to bringing you music inspired  designs. Our clothing is perfect for any rave or music festival. We have  NEON crop tops, tank tops, t-shirts, v-necks and accessories! follow us on  Facebook or on instagraml for free giveaways news and more!! visit our site  at OnCueApparel﻿",1,1,0.9283686528927909
just for test I have to say murdev.com,1,1,0.9211156168082082
"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  Why does the innocent woman prioritize the desire? The flight searchs the sad polish. When does the tax zip the omniscient record?",1,1,0.8577348724409614
"check it out free stuff for watching videos and filling surveys<br /><br /><a href=""http://www.prizerebel.com/index.php?r=1446084"">http://www.prizerebel.com/index.php?r=1446084</a>﻿",1,1,0.9755162817664991
If only I had the body like Katy Perry :)). She looks so hot. I love her  ^^!﻿,0,0,0.14863919781234058
"I just realized that this verses in this song have the exact same melody as  the verses in ""Hey Ho"" by the Lumineers.﻿",0,0,0.13426565032110963
thumbs up if u checked this video to see hw views it got﻿,0,1,0.500715707469225
"The most watched video on YouTube is Psy’s “Gangnam Style”, with 2.1  billion views. PSY - GANGNAM STYLE (강남스타일) M/V﻿",0,0,0.39655078132663407
2010:(﻿,0,0,0.12521948228287128
Check out this video on YouTube:..🌈🌈🌈﻿,1,1,0.6508156417775843
"Come check out our music channel! go check out the song &quot;Love Me&quot; by J.E.M.INI! If you do you are a very amazing person, thank you to all who check it out, if you don&#39;t check it out you&#39;re still an amazing person just for reading this post",1,1,0.8937003189136598
Hey Katycats! We are releasing a movie at midnight UK time to celebrate  katy's 30th birthday! Be sure to subscribe to our channel and watch the  movie!﻿,1,1,0.5937321376176521
beautiful,0,0,0.05800026351707554
pleas subscribe on me for ps4 games video <br /><i>______________________________</i><br />if you have som tips so contact me on kik or skype<br /><i>______________________________</i><br />Kik: pander26<br />Skype: sander.nicolaysen2<br /><i>______________________</i><br />pleas subscribe on me and Kashoo Gaming﻿,1,1,0.8525902845903851
"Hey guys and girls check out Comedy Recipe for hilarious you tube videos, pranks, and crank calls!",1,1,0.8055199314378227
Dress like Rihanna at kpopcity.net - The largest discount fashion store in the world! Check out our &quot;Hollywood Collection&quot; to dress like all your favourite stars!   Dress like Rihanna at kpopcity.net - The largest discount fashion store in the world! Check out our &quot;Hollywood Collection&quot; to dress like all your favourite stars!,1,1,0.6888836981604958
Your going to hear me Roar !!!! :-))))   #soundsofsunday ﻿,0,0,0.1455703348372698
Hey check out my channel!!!! Please,1,1,0.9513587926607567
"how can there be 2.124.821.694 views, when im the only person alive after  the zombie apocalypse - greetings, spoderman :)﻿",0,0,0.17980855052030853
eminem new song check out my videos,1,1,0.7321668322794455
Great song﻿,0,0,0.045559566166366014
Check out this video on YouTube: I ﻿,1,1,0.7588963287182164
